anime_id,name,genre,type,episodes,rating,members,japanese_title,aired,image_url,aired_from,aired_to,ave_rating_minmax,rating_count_standard
24171,Mushibugyou OVA,"Action, Fantasy, Historical, Martial Arts, Samurai, Shounen, Super Power",OVA,3,7.2,3636,ムシブギョー 虫奉行 OVA,"Jul 18, 2014 to Jan 16, 2015",https://cdn.myanimelist.net/images/anime/7/67127.jpg,1405612800,1421337600,0.70962965,75
9465,Break Blade 4: Sanka no Chi,"Action, Fantasy, Mecha, Military, Shounen",Movie,1,7.99,41598,ブレイク ブレイド 第四章 惨禍ノ地,"Oct 30, 2010",https://cdn.myanimelist.net/images/anime/11/68085.jpg,1288368000,1288368000,0.7887058,1942
17679,Gambo,"Demons, Historical",Movie,1,6.78,4232,GAMBO,"Jul 20, 2013",https://cdn.myanimelist.net/images/anime/10/53167.jpg,1374249600,1374249600,0.6992337,116
1829,Gedo Senki,"Adventure, Fantasy, Magic",Movie,1,7.18,59243,ゲド戦記,"Jul 29, 2006",https://cdn.myanimelist.net/images/anime/5/73443.jpg,1154102400,1154102400,0.70463973,2651
8086,Densetsu no Yuusha no Densetsu,"Action, Adventure, Fantasy, Magic, Shounen",TV,24,7.83,130689,伝説の勇者の伝説,"Jul 2, 2010 to Dec 17, 2010",https://cdn.myanimelist.net/images/anime/8/73651.jpg,1278000000,1292515200,0.77100796,3857
17389,Kingdom 2nd Season,"Action, Historical, Military, Seinen",TV,39,8.57,31234,キングダム 第2シリーズ,"Jun 8, 2013 to Mar 2, 2014",https://cdn.myanimelist.net/images/anime/13/53589.jpg,1370620800,1393689600,0.84464884,761
22097,Magi: Sinbad no Bouken,"Action, Adventure, Fantasy, Magic, Shounen",OVA,5,8.06,52351,マギ シンドバッドの冒険,"May 14, 2014 to Jul 15, 2015",https://cdn.myanimelist.net/images/anime/13/60471.jpg,1399996800,1436889600,0.7923077,910
30654,Ansatsu Kyoushitsu (TV) 2nd Season,"Action, Comedy, School, Shounen",TV,25,8.68,176475,暗殺教室　第２期,"Jan 8, 2016 to Jul 1, 2016",https://cdn.myanimelist.net/images/anime/8/77966.jpg,1452182400,1467302400,0.8541492,2386
5300,Zoku Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.64,114173,続 夏目友人帳,"Jan 6, 2009 to Mar 31, 2009",https://cdn.myanimelist.net/images/anime/4/79738.jpg,1231171200,1238428800,0.85489005,3840
6336,Mobile Suit Gundam Unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7,8.4,42076,機動戦士ガンダムUC（ユニコーン）,"Mar 12, 2010 to Jun 6, 2014",https://cdn.myanimelist.net/images/anime/12/50459.jpg,1268323200,1401984000,0.83310026,715
463,One Piece Movie 5: Norowareta Seiken,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power",Movie,1,7.44,35357,ワンピース呪われた聖剣,"Mar 6, 2004",https://cdn.myanimelist.net/images/anime/2/25413.jpg,1078502400,1078502400,0.733479,1678
1088,Macross,"Action, Mecha, Military, Music, Romance, Sci-Fi, Space",TV,36,8.07,44157,超時空要塞マクロス,"Oct 3, 1982 to Jun 26, 1983",https://cdn.myanimelist.net/images/anime/1/2441.jpg,402422400,425404800,0.7985316,1135
471,To Heart 2,"Comedy, Drama, Harem, Romance, School, Slice of Life",TV,13,6.65,13877,トゥハート2,"Oct 4, 2005 to Jan 3, 2006",https://cdn.myanimelist.net/images/anime/3/57423.jpg,1128355200,1136217600,0.65185183,390
25517,Magic Kaito 1412,"Adventure, Comedy, Romance, Shounen",TV,24,7.95,43545,まじっく快斗1412,"Oct 4, 2014 to Mar 28, 2015",https://cdn.myanimelist.net/images/anime/3/67807.jpg,1412352000,1427472000,0.78795105,699
2142,Blue Dragon,"Adventure, Comedy, Fantasy, Supernatural",TV,51,6.55,22718,ブルー・ドラゴン,"Apr 7, 2007 to Mar 29, 2008",https://cdn.myanimelist.net/images/anime/2/20597.jpg,1175875200,1206720000,0.6329897,485
1238,One Piece: Mamore! Saigo no Dai Butai,"Adventure, Comedy, Fantasy, Shounen",Special,1,7.49,16495,ワンピース守れ! 最後の大舞台,"Dec 14, 2003",https://cdn.myanimelist.net/images/anime/5/77108.jpg,1071331200,1071331200,0.74217135,699
3918,Resort Boin,Hentai,OVA,3,7.31,9654,リゾートBOIN,"Dec 25, 2007 to Apr 25, 2009",https://cdn.myanimelist.net/images/anime/13/7050.jpg,1198512000,1240588800,0.70818913,289
833,Choujuushin Gravion,"Action, Comedy, Mecha, Sci-Fi, Shounen",TV,13,6.5,8364,超重神グラヴィオン,"Oct 7, 2002 to Dec 16, 2002",https://cdn.myanimelist.net/images/anime/9/75166.jpg,1033920000,1039968000,0.6309216,258
11033,"Natsu-iro Egao de 1, 2, Jump!",Music,Music,1,7.34,6939,"夏色えがおで1, 2, Jump!","Aug 24, 2011",https://cdn.myanimelist.net/images/anime/8/30959.jpg,1314115200,1314115200,0.7130359,254
148,Kita e.: Diamond Dust Drops,"Drama, Romance, Slice of Life",TV,12,6.77,5736,北へ。 ～Diamond Dust Drops～,"Jan 20, 2004 to Apr 5, 2004",https://cdn.myanimelist.net/images/anime/1/148.jpg,1074528000,1081094400,0.64920634,140
1591,Kujibiki♥Unbalance,"Comedy, Romance, School",TV,12,6.39,9021,くじびき♥アンバランス,"Oct 7, 2006 to Dec 23, 2006",https://cdn.myanimelist.net/images/anime/6/75281.jpg,1160150400,1166803200,0.59555554,275
1342,Violence Jack: Jigoku Gai-hen,"Action, Drama, Horror",OVA,1,5.8,3456,バイオレンス ジャック 〜地獄街編〜,"Dec 6, 1988",https://cdn.myanimelist.net/images/anime/13/12874.jpg,597340800,597340800,0.5594957,141
33569,Re:Petit kara Hajimeru Isekai Seikatsu,"Adventure, Comedy, Fantasy",Special,14,6.95,14310,Re:プチから始める異世界生活,"Jun 24, 2016 to Sep 23, 2016",https://cdn.myanimelist.net/images/anime/8/81281.jpg,1466697600,1474560000,0.6788321,137
6654,Namakura Gatana,"Comedy, Samurai",Movie,1,4.76,848,なまくら刀（塙凹内名刀之巻）,"Jun 30, 1917",https://cdn.myanimelist.net/images/anime/4/15280.jpg,-1657008000,-1657008000,0.50427353,13
16574,Yu☆Gi☆Oh! Zexal Special,"Action, Fantasy, Game, Shounen",Special,1,6.34,1965,めざせ世界一!「遊戯王ZEXAL」内村航平選手も出るよスペシャル,"Sep 17, 2012",https://cdn.myanimelist.net/images/anime/3/44710.jpg,1347811200,1347811200,0.62801933,23
2866,Ane☆Haramix,Hentai,OVA,4,6.96,7712,姉☆孕みっくす,"Aug 26, 2006 to Sep 15, 2007",https://cdn.myanimelist.net/images/anime/12/18252.jpg,1156521600,1189785600,0.6849447,231
496,Kamui no Ken,"Adventure, Drama, Fantasy, Historical, Shounen",Movie,1,6.72,2776,カムイの剣,"Mar 9, 1985",https://cdn.myanimelist.net/images/anime/1073/94233.jpg,479145600,479145600,0.622575,63
4935,Ikkyuu-san,"Comedy, Historical, Kids",TV,296,7.05,720,一休さん,"Oct 15, 1975 to Jun 28, 1982",https://cdn.myanimelist.net/images/anime/6/60917.jpg,182534400,394041600,0.73015875,14
6397,Tentou Mushi no Uta,"Drama, Slice of Life",TV,104,6.48,249,てんとう虫の歌,"Oct 6, 1974 to Sep 26, 1976",https://cdn.myanimelist.net/images/anime/12/51187.jpg,150220800,212515200,0.44444445,5
1645,Harlock Saga: Nibelung no Yubiwa,"Action, Adventure, Drama, Sci-Fi, Seinen, Space",OVA,6,6.91,3244,ハーロック・サーガ ニーベルングの指環,"Jan 25, 1999 to Nov 25, 1999",https://cdn.myanimelist.net/images/anime/9/21258.jpg,917193600,943459200,0.6507937,84
2122,Captain Tsubasa: Saikyou no Teki! Holland Youth,"Action, Shounen, Sports",OVA,1,7.01,2313,キャプテン翼　「最強の敵！オランダユース」,"Dec 16, 1995",https://cdn.myanimelist.net/images/anime/1934/110682.jpg,819043200,819043200,0.68434346,88
24347,Inazuma Eleven: Chou Jigen Dream Match,"Shounen, Sports, Super Power",Movie,1,6.97,2280,イナズマイレブン 超次元ドリームマッチ,"Jun 13, 2014",https://cdn.myanimelist.net/images/anime/3/62875.jpg,1402588800,1402588800,0.6759259,36
1580,Mouryou Senki Madara,"Adventure, Demons, Shounen, Supernatural",OVA,2,6.4,813,魍魎戦記 MADARA[摩陀羅],"Mar 20, 1991 to Dec 20, 1991",https://cdn.myanimelist.net/images/anime/1092/112279.jpg,669398400,693158400,0.60493827,18
1959,Wild 7,"Action, Drama, Police, Shounen",OVA,2,6.34,679,ワイルド７,"Dec 17, 1994 to Feb 21, 1995",https://cdn.myanimelist.net/images/anime/1886/96607.jpg,787593600,793296000,0.53174603,14
2659,Doraemon Movie 14: Nobita to Buriki no Labyrinth,Fantasy,Movie,1,7.26,1181,映画 ドラえもん のび太とブリキの迷宮[ラビリンス],"Mar 6, 1993",https://cdn.myanimelist.net/images/anime/4/72419.jpg,731347200,731347200,0.6632997,33
2366,Touma Kishinden Oni,Supernatural,TV,25,6.4,303,闘魔鬼神伝ONI,"Oct 5, 1995 to Mar 21, 1996",https://cdn.myanimelist.net/images/anime/9/82993.jpg,812822400,827337600,0.6666667,1
7982,Tetsuro no Kanata,Adventure,OVA,1,5.87,340,鉄路の彼方,"Jan 18, 2006",https://cdn.myanimelist.net/images/anime/4/29238.jpg,1137513600,1137513600,0.8888889,1
3175,Kaitei Choutokkyuu: Marine Express,"Action, Adventure, Comedy, Drama, Sci-Fi",Special,1,6.37,551,海底超特急　マリン・エクスプレス,"Aug 26, 1979",https://cdn.myanimelist.net/images/anime/6/56819.jpg,304444800,304444800,0.6,10
29744,Seishun Midnight Runners: Shiosai,Music,Music,1,4.63,82,青春ミッドナイトランナーズ「潮騒」,2007,https://cdn.myanimelist.net/images/anime/3/71510.jpg,0,0,0.22222222,1
29814,Ikiteirutte Subarashii!,Kids,Movie,1,4.42,78,生きているってすばらしい!,1972,https://cdn.myanimelist.net/images/anime/7/71598.jpg,0,0,0.2777778,2
30903,Children Record,Music,Music,2,7.06,745,チルドレンレコード,"Aug 15, 2012",https://cdn.myanimelist.net/images/anime/10/74366.jpg,1344960000,1344960000,0.6111111,8
31912,Shinsetsu Kachikachi Yama,"Action, Fantasy, Historical",Movie,1,5.23,147,新説カチカチ山,"Nov, 1936",https://cdn.myanimelist.net/images/anime/9/77039.jpg,0,0,0.3888889,2
32855,Tonight,Music,Music,1,4.85,91,TONIGHT,"Oct 16, 2015",https://cdn.myanimelist.net/images/anime/6/78765.jpg,1444924800,1444924800,0.22222222,1
4818,Houkago Renai Club: Koi no Étude,Hentai,OVA,2,5.39,605,放課後恋愛クラブ-恋のエチュード-,"Apr 24, 1998 to Aug 21, 1998",https://cdn.myanimelist.net/images/anime/6/53469.jpg,893347200,903628800,0.4920635,7
12027,Anne no Nikki: Anne Frank Monogatari,"Drama, Historical",Special,1,6.86,385,アンネの日記　アンネ・フランク物語,"Sep 28, 1979",https://cdn.myanimelist.net/images/anime/10/33885.jpg,307296000,307296000,0.82222223,5
6658,Unko-san: Tsuiteru Hito ni Shika Mienai Yousei,"Comedy, Magic",TV,13,3.25,300,うんこさん ツイてる人にしか見えない妖精,"Mar 18, 2009 to Jul 20, 2009",https://cdn.myanimelist.net/images/anime/5/79398.jpg,1237305600,1248019200,0.22222222,3
29834,Moshidora Recap,"Drama, Sports",Special,1,5.94,251,もしドラ 再び 総集編,"Aug 16, 2011",https://cdn.myanimelist.net/images/anime/10/71637.jpg,1313424000,1313424000,0.44444445,1
17753,Kuruneko: Nyaalock Holmes no Bouken,"Comedy, Slice of Life",Special,4,6.7,183,ニャーロック・ホームズの冒険,"Dec 17, 2010 to Sep 2, 2011",https://cdn.myanimelist.net/images/anime/2/47305.jpg,1292515200,1314892800,0.6666667,2
9376,Yamato Takeru: After War,"Action, Adventure, Fantasy, Magic, Mecha, Sci-Fi, Shounen, Space",OVA,2,6.58,243,ヤマトタケル ～After War～,"Nov 22, 1995",https://cdn.myanimelist.net/images/anime/1240/96605.jpg,816969600,816969600,0.7222222,2
10623,Hayan Ma-eum Baeggu,Adventure,TV,13,7.06,359,하얀 마음 백구,"Oct 6, 2000 to Jan 12, 2001",https://cdn.myanimelist.net/images/anime/1662/111205.jpg,970761600,979228800,0.7777778,3
34239,Mutsugo to Ouma no Monogatari,"Comedy, Parody",ONA,6,6.47,1489,6つ子とおうまの物語,"Oct 13, 2016 to Dec 8, 2016",https://cdn.myanimelist.net/images/anime/10/82374.jpg,1476288000,1481126400,0.6666667,1
31035,Inferno Cop Specials,"Action, Comedy",Special,2,6.06,755,インフェルノコップ,"Jun 13, 2015 to Jul 2, 2017",https://cdn.myanimelist.net/images/anime/5/74603.jpg,1434124800,1498924800,0.5555556,2
9900,Hamster Club,Kids,TV,140,6.65,318,ハムスター倶楽部,"Oct 2, 2000 to Mar 30, 2001",https://cdn.myanimelist.net/images/anime/10/27428.jpg,970416000,985881600,1.0,1
25591,Tokyo Juushouden: Fuuma Gogyou Denshou,"Action, Adventure, Shounen, Supernatural",OVA,3,5.58,217,倒凶十将伝 封魔五行伝承,"Aug 24, 2001 to Jan 25, 2002",https://cdn.myanimelist.net/images/anime/2/65105.jpg,998582400,1011888000,0.5555556,3
31236,Chieri to Cherry,"Adventure, Fantasy, Shoujo",Movie,1,6.0,180,ちえりとチェリー,"Feb 20, 2016",https://cdn.myanimelist.net/images/anime/5/78815.jpg,1455897600,1455897600,0.6666667,1
4101,Wan Wan Celepoo Soreyuke! Tetsunoshin,"Comedy, Fantasy, Kids",TV,51,6.81,432,ワンワンセレプー それゆけ！徹之進,"Jan 7, 2006 to Dec 30, 2006",https://cdn.myanimelist.net/images/anime/13/7489.jpg,1136563200,1167408000,0.6666667,1
33868,Kabi Usagi: Kaichuu,Comedy,ONA,1,4.17,36,,,,0,0,0.22222222,1
