anime_id,name,genre,type,episodes,rating,members,japanese_title,aired,image_url
32281,Kimi no Na wa.,"Drama, Romance, School, Supernatural",Movie,1,9.37,200630,君の名は。,"Aug 26, 2016",https://cdn.myanimelist.net/images/anime/5/87048.jpg
5114,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,9.26,793665,鋼の錬金術師 FULLMETAL ALCHEMIST,"Apr 5, 2009 to Jul 4, 2010",https://cdn.myanimelist.net/images/anime/1223/96541.jpg
28977,Gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.25,114262,銀魂°,"Apr 8, 2015 to Mar 30, 2016",https://cdn.myanimelist.net/images/anime/3/72078.jpg
9253,Steins;Gate,"Sci-Fi, Thriller",TV,24,9.17,673572,STEINS;GATE,"Apr 6, 2011 to Sep 14, 2011",https://cdn.myanimelist.net/images/anime/5/73199.jpg
9969,Gintama&#039;,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.16,151266,銀魂',"Apr 4, 2011 to Mar 26, 2012",https://cdn.myanimelist.net/images/anime/4/50361.jpg
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",TV,10,9.15,93351,ハイキュー!! 烏野高校 VS 白鳥沢学園高校,"Oct 8, 2016 to Dec 10, 2016",https://cdn.myanimelist.net/images/anime/7/81992.jpg
11061,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",TV,148,9.13,425855,HUNTER×HUNTER（ハンター×ハンター）,"Oct 2, 2011 to Sep 24, 2014",https://cdn.myanimelist.net/images/anime/11/33657.jpg
820,Ginga Eiyuu Densetsu,"Drama, Military, Sci-Fi, Space",OVA,110,9.11,80679,銀河英雄伝説,"Jan 8, 1988 to Mar 17, 1997",https://cdn.myanimelist.net/images/anime/13/13225.jpg
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,9.1,72534,劇場版 銀魂 完結篇 万事屋よ永遠なれ,"Jul 6, 2013",https://cdn.myanimelist.net/images/anime/10/51723.jpg
15417,Gintama&#039;: Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,9.11,81109,銀魂' 延長戦,"Oct 4, 2012 to Mar 28, 2013",https://cdn.myanimelist.net/images/anime/6/75172.jpg
